Sources,Authentication Services operational,Authentication Services degraded,Authentication Services unresponsive,Availability Item Filter operational,Availability Item Filter degraded,Availability Item Filter unresponsive,Bid and Buy Service operational,Bid and Buy Service degraded,Bid and Buy Service unresponsive,Buy Now Item Filter operational,Buy Now Item Filter degraded,Buy Now Item Filter unresponsive,Category Item Filter operational,Category Item Filter degraded,Category Item Filter unresponsive,Comment Item Filter operational,Comment Item Filter degraded,Comment Item Filter unresponsive,Future Sales Item Filter operational,Future Sales Item Filter degraded,Future Sales Item Filter unresponsive,Inventory Service operational,Inventory Service degraded,Inventory Service unresponsive,Item Management Service operational,Item Management Service degraded,Item Management Service unresponsive,Last Second Sales Item Filter operational,Last Second Sales Item Filter degraded,Last Second Sales Item Filter unresponsive,Past Sales Item Filter operational,Past Sales Item Filter degraded,Past Sales Item Filter unresponsive,Persistence Service operational,Persistence Service degraded,Persistence Service unresponsive,Query Service operational,Query Service degraded,Query Service unresponsive,Recommendation Item Filter operational,Recommendation Item Filter degraded,Recommendation Item Filter unresponsive,Region Item Filter operational,Region Item Filter degraded,Region Item Filter unresponsive,Reputation Service operational,Reputation Service degraded,Reputation Service unresponsive,Seller Reputation Item Filter operational,Seller Reputation Item Filter degraded,Seller Reputation Item Filter unresponsive,User Management Service operational,User Management Service degraded,User Management Service unresponsive,Supervisory Component operational,Supervisory Component degraded,Supervisory Component unresponsive
Buy Now Item Filter degraded,0.0,0.0,0.0,0.4609374986893898,0.14062500208939366,0.007812499808466092,0.0,0.0,0.0,0.23437499888149194,0.08593749961752908,0.046875000658872026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023437500254857448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter unresponsive,0.0,0.0,0.0,0.1500000006775373,0.05000000097090373,0.10000000589992855,0.0,0.0,0.0,0.29999999723397186,0.2500000019674188,0.14999999325023977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15963302698069348,0.04036697327324206,0.011009174193743284,0.0,0.0018348625023317838,0.0036697249576702236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6770642196497819,0.10458715592568023,0.0018348625168569993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937984501524146,0.16279069882081665,0.06201550418291199,0.015503876044825539,0.007751937838314124,0.007751937780557687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953488354574693,0.13953488347932694,0.01550387624336331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333340289508,0.11111111052663908,0.22222222553742396,0.0,0.0,0.037037036330560505,0.0,0.0,0.037037038831334114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111112510011,0.14814814349409045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.670542635967418,0.11627906970930764,0.0019379844679313853,0.13565891567099483,0.05813953414443007,0.013565891242129272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019379843650527329,0.0019379844327360562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280000016140637,0.12800000014406446,0.02399999931967261,0.159999997175634,0.05600000063532601,0.08000000121042139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02399999990081787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13953488393827243,0.11627906790001151,0.023255815128596844,0.16279069789730138,0.09302325592275044,0.44186046577384636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325581343922099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Future Sales Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12977099286088348,0.05343511399168013,0.01335877872253052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083967774231447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6736641218599481,0.12786259578753445,0.0
Future Sales Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21774193394254898,0.08064516006547828,0.0645161291181461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49193548668377307,0.14516129019005358,0.0
Future Sales Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448237008975,0.24137931044338615,0.17241379236868914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275906143443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275976795502,0.034482758370971145,0.1724137962866667
Inventory Service operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14465408712444403,0.08176100710847493,0.012578617312902829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955974848836678,0.050314465526320885,0.0,0.3396226393798361,0.07547169866435334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory Service degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565296593342,0.08695651627663316,0.02173913204281054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391304296838817,0.021739129916965482,0.02173913186059524,0.3695652225683749,0.06521739358754056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782610588226,0.0,0.02173913003844234
Inventory Service unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666149266,0.3333333333850735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item Management Service operational,0.16935484011462615,0.04032258105567369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10483870960313035,0.0806451619761554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000014824176,0.04838709770618241,0.0,0.26612902772340935,0.040322580338405065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item Management Service degraded,0.21428571389528733,0.023809523325119902,0.023809522837284287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190476476974034,0.1190476203730642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666735591923,0.0,0.0,0.11904761991849014,0.023809522848371456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523336207075,0.0,0.02380952134051597
Item Management Service unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Last Second Sales Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15575221279436638,0.06725663717402756,0.014159292226936045,0.6283185825442484,0.132743363798504,0.0017699114619175503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Last Second Sales Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009090909211557696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25454545212824936,0.063636363143186,0.036363637214526554,0.47272727215577903,0.13636363968464804,0.0,0.0,0.0,0.0,0.01818181755529214,0.0,0.00909090890676122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Last Second Sales Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263335387777,0.10526315331422925,0.31578947937791935,0.05263158098286289,0.05263157948784505,0.05263157348326556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Past Sales Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6817288814980199,0.1335952846178358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770137461535935,0.04911591294097222,0.007858546327812821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Past Sales Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267175607183864,0.09923664132850249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030534350574527802,0.0,0.0,0.19083969341821647,0.07633587519396363,0.07633587876640326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Past Sales Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652050323537,0.0,0.13043478776001868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608298475665,0.13043478609983483,0.3043478226521545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Persistence Service operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13257575602537733,0.08712121147048488,0.0113636362039862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6174242456084061,0.1515151506917454,0.0
Persistence Service degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411765015047584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27941176153457176,0.05882352641437233,0.029411764953415943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882117190065,0.0,0.0,0.0,0.0,0.0,0.014705883123840219,0.0,0.014705882315780905,0.514705889002814,0.029411762536086104,0.014705882986881011
Persistence Service unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3749999956198734,0.125000007057679,0.25000000387080956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999652209225,0.12499999692954585,0.0
Query Service operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019455252236212509,0.0,0.7023346306618921,0.09727626462188274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12645914387581586,0.06225680928215836,0.00778210107114639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019455252634833055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Query Service degraded,0.0,0.0,0.007142857088308247,0.0,0.0,0.0,0.0,0.0,0.00714285699517599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428571397525124,0.07142857292866603,0.007142857075003639,0.0,0.014285713488103048,0.0,0.0,0.0,0.0,0.21428571465159102,0.10000000097256684,0.0357142870480727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Query Service unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823523865722864,0.11764706224912069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411820359656,0.17647058885402725,0.23529411063797032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823532357193196,0.0,0.0,0.0,0.0,0.0
Recommendation Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6774809162949774,0.12404580200271029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13358778590440085,0.05343511393946595,0.011450381858445427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recommendation Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042016807233466326,0.008403361914702435,0.008403361703393942,0.0,0.0,0.0,0.5126050446114355,0.1008403351227971,0.03361344614051912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20168067145474838,0.06722688820356719,0.02521008361536999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recommendation Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454540821985544,0.09090909038570305,0.04545454765873971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818208266588,0.09090909102069562,0.4090909092862173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12962962907090034,0.055555555732238686,0.009259259009740851,0.0,0.0,0.0,0.6814814827141926,0.12407407347292754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region Item Filter degraded,0.0,0.0,0.0,0.00877192984326524,0.008771929826926247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23684210386466903,0.11403509022131408,0.043859650813462776,0.0,0.0,0.0,0.47368420785188065,0.10526315795170832,0.008771929626773593,0.0,0.0,0.0,0.0,0.0,0.0
Region Item Filter unresponsive,0.0,0.0,0.0,0.04761904633399137,0.04761904631181701,0.04761904628964267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904396133635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809524852246075,0.14285713713932915,0.23809524295669962,0.0,0.0,0.0,0.04761904915013344,0.09523809304494689,0.04761904628964267,0.0,0.0,0.0,0.0,0.0,0.0
